f1,f2,class
0.0,0.11050155597138724,0.0
0.0,0.021166589470256784,0.0
0.0,0.616532398770357,0.0
0.0,0.0322406971798696,0.0
0.0,0.031620446140283955,0.0
0.0,0.12223505329346702,0.0
0.0,0.14722515499845693,0.0
0.0,0.03296271089302509,0.0
0.0,0.636750667258096,0.0
0.0,0.4079773869331731,0.0
0.0,0.01179415950824311,0.0
0.0,0.03655251216867674,0.0
0.0,0.26633239674930037,0.0
0.0,0.004072745952469978,0.0
0.0,0.14682422793085986,0.0
0.0,0.31417398117960976,0.0
0.0,0.29732625889967246,0.0
0.0,0.13929150289225595,0.0
0.0,0.17096234306390354,0.0
0.0,0.02957790234684191,0.0
0.0,0.13118014827484714,0.0
0.0,0.17159403715228133,0.0
0.0,0.31754580845286534,0.0
0.5,0.3296780370985034,0.0
0.5,0.0881237668964523,0.0
0.0,0.2508175122219332,0.0
0.0,0.46754829577547186,0.0
0.0,0.00207460466959464,0.0
0.0,0.057306810047794324,0.0
0.0,0.11187990232984074,0.0
0.0,0.3806503863663052,0.0
0.0,0.0029477024653252934,0.0
0.0,0.04347176691189764,0.0
0.0,0.06597570951392832,0.0
0.0,0.18174463349392805,0.0
0.0,0.08120042088473527,0.0
0.0,0.15422505299784087,0.0
0.0,0.4053723439948212,0.0
0.0,0.10542476932785484,0.0
0.0,8.287678826792814e-05,0.0
0.0,0.05963454272697972,0.0
0.0,0.052508567121927995,0.0
0.0,0.5958531008121278,0.0
0.0,0.06532281668585367,0.0
0.0,0.07190169706499339,0.0
0.0,0.007830326104374336,0.0
0.0,0.001374414144937457,0.0
0.0,0.06577638724793204,0.0
0.0,0.0012630683995661644,0.0
0.0,0.1229033067416143,0.0
0.0,0.17422947575754133,0.0
0.0,0.01587301905366398,0.0
0.0,0.3010957361849969,0.0
0.0,0.004561356895622042,0.0
0.0,0.06832583845246,0.0
0.0,0.02706450450018278,0.0
0.0,0.33500590205169767,0.0
0.0,0.012376315695184402,0.0
0.0,0.1859569529126673,0.0
0.0,0.062135986518844485,0.0
0.0,0.48306483382956683,0.0
0.0,0.1766367813486982,0.0
0.0,0.020208151687025777,0.0
0.0,0.8434046175954576,0.0
0.0,0.16817231955600068,0.0
0.0,0.057656471761983956,0.0
0.0,0.34203258242442597,0.0
0.0,0.4688330872586189,0.0
0.0,0.1068700844419629,0.0
0.0,0.12306614690590986,0.0
0.0,0.09907182341113811,0.0
0.0,0.16722359866306338,0.0
0.0,0.020421459475218312,0.0
0.0,0.06181298025363765,0.0
0.0,8.796313790611356e-06,0.0
0.0,0.0006605014885890453,0.0
0.0,0.01906371167954443,0.0
0.0,0.4125645722956707,0.0
0.0,0.08880404678564593,0.0
0.0,0.003367850471061756,0.0
0.0,0.16914824621249186,0.0
0.0,0.023085892919172395,0.0
0.0,0.2766989791797812,0.0
0.0,0.1922476404102004,0.0
0.0,0.006172846360022855,0.0
0.0,0.2990488301471611,0.0
0.0,0.006873936663185292,0.0
0.0,0.04098962254286798,0.0
0.0,0.3880461074152362,0.0
1.0,0.10228833223741449,1.0
1.0,0.014383654022272152,1.0
1.0,0.05577438408782953,1.0
1.0,0.2783429716606366,1.0
0.5,0.2171341200539126,1.0
0.5,0.08944072712868785,1.0
0.5,0.010171553216806106,1.0
0.5,0.7,1.0
1.0,0.8,1.0
1.0,0.9,1.0
1.0,1.0,1.0
